product_id,product_alias,product_sku
2,韩版长裙,"['[{""kid"":""1"",""key"":""尺寸"",""vid"":""3"",""value"":""XS""},{""kid"":""2"",""key"":""颜色"",""vid"":""4"",""value"":""红色""}]', '[{""kid"":""1"",""key"":""尺寸"",""vid"":""3"",""value"":""XS""},{""kid"":""2"",""key"":""颜色"",""vid"":""5"",""value"":""蓝色""}]', '[{""kid"":""1"",""key"":""尺寸"",""vid"":""3"",""value"":""XS""},{""kid"":""2"",""key"":""颜色"",""vid"":""6"",""value"":""紫色""}]']"
3,SR963258,"['[{""kid"":""1"",""key"":""尺寸"",""vid"":""1"",""value"":""S""},{""kid"":""2"",""key"":""颜色"",""vid"":""4"",""value"":""红色""}]', '[{""kid"":""1"",""key"":""尺寸"",""vid"":""1"",""value"":""S""},{""kid"":""2"",""key"":""颜色"",""vid"":""5"",""value"":""蓝色""}]', '[{""kid"":""1"",""key"":""尺寸"",""vid"":""1"",""value"":""S""},{""kid"":""2"",""key"":""颜色"",""vid"":""6"",""value"":""紫色""}]', '[{""kid"":""1"",""key"":""尺寸"",""vid"":""2"",""value"":""M""},{""kid"":""2"",""key"":""颜色"",""vid"":""4"",""value"":""红色""}]', '[{""kid"":""1"",""key"":""尺寸"",""vid"":""2"",""value"":""M""},{""kid"":""2"",""key"":""颜色"",""vid"":""5"",""value"":""蓝色""}]', '[{""kid"":""1"",""key"":""尺寸"",""vid"":""2"",""value"":""M""},{""kid"":""2"",""key"":""颜色"",""vid"":""6"",""value"":""紫色""}]', '[{""kid"":""1"",""key"":""尺寸"",""vid"":""3"",""value"":""XS""},{""kid"":""2"",""key"":""颜色"",""vid"":""4"",""value"":""红色""}]', '[{""kid"":""1"",""key"":""尺寸"",""vid"":""3"",""value"":""XS""},{""kid"":""2"",""key"":""颜色"",""vid"":""5"",""value"":""蓝色""}]', '[{""kid"":""1"",""key"":""尺寸"",""vid"":""3"",""value"":""XS""},{""kid"":""2"",""key"":""颜色"",""vid"":""6"",""value"":""紫色""}]']"
4,牛仔裤,"['[{""kid"":""3"",""key"":""尺寸"",""vid"":""7"",""value"":""S""},{""kid"":""4"",""key"":""颜色"",""vid"":""10"",""value"":""紫色""}]', '[{""kid"":""3"",""key"":""尺寸"",""vid"":""7"",""value"":""S""},{""kid"":""4"",""key"":""颜色"",""vid"":""11"",""value"":""红色""}]', '[{""kid"":""3"",""key"":""尺寸"",""vid"":""7"",""value"":""S""},{""kid"":""4"",""key"":""颜色"",""vid"":""12"",""value"":""蓝色""}]', '[{""kid"":""3"",""key"":""尺寸"",""vid"":""8"",""value"":""M""},{""kid"":""4"",""key"":""颜色"",""vid"":""10"",""value"":""紫色""}]', '[{""kid"":""3"",""key"":""尺寸"",""vid"":""8"",""value"":""M""},{""kid"":""4"",""key"":""颜色"",""vid"":""11"",""value"":""红色""}]', '[{""kid"":""3"",""key"":""尺寸"",""vid"":""8"",""value"":""M""},{""kid"":""4"",""key"":""颜色"",""vid"":""12"",""value"":""蓝色""}]', '[{""kid"":""3"",""key"":""尺寸"",""vid"":""9"",""value"":""L""},{""kid"":""4"",""key"":""颜色"",""vid"":""10"",""value"":""紫色""}]', '[{""kid"":""3"",""key"":""尺寸"",""vid"":""9"",""value"":""L""},{""kid"":""4"",""key"":""颜色"",""vid"":""11"",""value"":""红色""}]', '[{""kid"":""3"",""key"":""尺寸"",""vid"":""9"",""value"":""L""},{""kid"":""4"",""key"":""颜色"",""vid"":""12"",""value"":""蓝色""}]', '[{""kid"":""3"",""key"":""尺寸"",""vid"":""14"",""value"":""XL""},{""kid"":""4"",""key"":""颜色"",""vid"":""10"",""value"":""紫色""}]', '[{""kid"":""3"",""key"":""尺寸"",""vid"":""14"",""value"":""XL""},{""kid"":""4"",""key"":""颜色"",""vid"":""11"",""value"":""红色""}]', '[{""kid"":""3"",""key"":""尺寸"",""vid"":""14"",""value"":""XL""},{""kid"":""4"",""key"":""颜色"",""vid"":""12"",""value"":""蓝色""}]']"
6,长袖白衬衫女装,"['[{""kid"":""1"",""key"":""尺寸"",""vid"":""1"",""value"":""S""},{""kid"":""2"",""key"":""颜色"",""vid"":""4"",""value"":""红色""}]', '[{""kid"":""1"",""key"":""尺寸"",""vid"":""1"",""value"":""S""},{""kid"":""2"",""key"":""颜色"",""vid"":""5"",""value"":""蓝色""}]', '[{""kid"":""1"",""key"":""尺寸"",""vid"":""1"",""value"":""S""},{""kid"":""2"",""key"":""颜色"",""vid"":""6"",""value"":""紫色""}]', '[{""kid"":""1"",""key"":""尺寸"",""vid"":""2"",""value"":""M""},{""kid"":""2"",""key"":""颜色"",""vid"":""4"",""value"":""红色""}]', '[{""kid"":""1"",""key"":""尺寸"",""vid"":""2"",""value"":""M""},{""kid"":""2"",""key"":""颜色"",""vid"":""5"",""value"":""蓝色""}]', '[{""kid"":""1"",""key"":""尺寸"",""vid"":""2"",""value"":""M""},{""kid"":""2"",""key"":""颜色"",""vid"":""6"",""value"":""紫色""}]', '[{""kid"":""1"",""key"":""尺寸"",""vid"":""3"",""value"":""XS""},{""kid"":""2"",""key"":""颜色"",""vid"":""4"",""value"":""红色""}]', '[{""kid"":""1"",""key"":""尺寸"",""vid"":""3"",""value"":""XS""},{""kid"":""2"",""key"":""颜色"",""vid"":""5"",""value"":""蓝色""}]', '[{""kid"":""1"",""key"":""尺寸"",""vid"":""3"",""value"":""XS""},{""kid"":""2"",""key"":""颜色"",""vid"":""6"",""value"":""紫色""}]']"
7,圆领卫衣,"['[{""kid"":""1"",""key"":""尺寸"",""vid"":""1"",""value"":""S""},{""kid"":""2"",""key"":""颜色"",""vid"":""4"",""value"":""红色""}]', '[{""kid"":""1"",""key"":""尺寸"",""vid"":""1"",""value"":""S""},{""kid"":""2"",""key"":""颜色"",""vid"":""5"",""value"":""蓝色""}]', '[{""kid"":""1"",""key"":""尺寸"",""vid"":""1"",""value"":""S""},{""kid"":""2"",""key"":""颜色"",""vid"":""6"",""value"":""紫色""}]', '[{""kid"":""1"",""key"":""尺寸"",""vid"":""2"",""value"":""M""},{""kid"":""2"",""key"":""颜色"",""vid"":""4"",""value"":""红色""}]', '[{""kid"":""1"",""key"":""尺寸"",""vid"":""2"",""value"":""M""},{""kid"":""2"",""key"":""颜色"",""vid"":""5"",""value"":""蓝色""}]', '[{""kid"":""1"",""key"":""尺寸"",""vid"":""2"",""value"":""M""},{""kid"":""2"",""key"":""颜色"",""vid"":""6"",""value"":""紫色""}]', '[{""kid"":""1"",""key"":""尺寸"",""vid"":""3"",""value"":""XS""},{""kid"":""2"",""key"":""颜色"",""vid"":""4"",""value"":""红色""}]', '[{""kid"":""1"",""key"":""尺寸"",""vid"":""3"",""value"":""XS""},{""kid"":""2"",""key"":""颜色"",""vid"":""5"",""value"":""蓝色""}]', '[{""kid"":""1"",""key"":""尺寸"",""vid"":""3"",""value"":""XS""},{""kid"":""2"",""key"":""颜色"",""vid"":""6"",""value"":""紫色""}]']"
8,工作服,"['[{""kid"":""1"",""key"":""尺寸"",""vid"":""1"",""value"":""S""},{""kid"":""2"",""key"":""颜色"",""vid"":""4"",""value"":""红色""}]', '[{""kid"":""1"",""key"":""尺寸"",""vid"":""1"",""value"":""S""},{""kid"":""2"",""key"":""颜色"",""vid"":""5"",""value"":""蓝色""}]', '[{""kid"":""1"",""key"":""尺寸"",""vid"":""1"",""value"":""S""},{""kid"":""2"",""key"":""颜色"",""vid"":""6"",""value"":""紫色""}]', '[{""kid"":""1"",""key"":""尺寸"",""vid"":""2"",""value"":""M""},{""kid"":""2"",""key"":""颜色"",""vid"":""4"",""value"":""红色""}]', '[{""kid"":""1"",""key"":""尺寸"",""vid"":""2"",""value"":""M""},{""kid"":""2"",""key"":""颜色"",""vid"":""5"",""value"":""蓝色""}]', '[{""kid"":""1"",""key"":""尺寸"",""vid"":""2"",""value"":""M""},{""kid"":""2"",""key"":""颜色"",""vid"":""6"",""value"":""紫色""}]', '[{""kid"":""1"",""key"":""尺寸"",""vid"":""3"",""value"":""XS""},{""kid"":""2"",""key"":""颜色"",""vid"":""4"",""value"":""红色""}]', '[{""kid"":""1"",""key"":""尺寸"",""vid"":""3"",""value"":""XS""},{""kid"":""2"",""key"":""颜色"",""vid"":""5"",""value"":""蓝色""}]', '[{""kid"":""1"",""key"":""尺寸"",""vid"":""3"",""value"":""XS""},{""kid"":""2"",""key"":""颜色"",""vid"":""6"",""value"":""紫色""}]', '[{""kid"":""1"",""key"":""尺寸"",""vid"":""13"",""value"":""XL""},{""kid"":""2"",""key"":""颜色"",""vid"":""4"",""value"":""红色""}]', '[{""kid"":""1"",""key"":""尺寸"",""vid"":""13"",""value"":""XL""},{""kid"":""2"",""key"":""颜色"",""vid"":""5"",""value"":""蓝色""}]', '[{""kid"":""1"",""key"":""尺寸"",""vid"":""13"",""value"":""XL""},{""kid"":""2"",""key"":""颜色"",""vid"":""6"",""value"":""紫色""}]']"
9,尖头鞋,"['[{""kid"":""1"",""key"":""尺寸"",""vid"":""1"",""value"":""S""},{""kid"":""2"",""key"":""颜色"",""vid"":""4"",""value"":""红色""}]', '[{""kid"":""1"",""key"":""尺寸"",""vid"":""1"",""value"":""S""},{""kid"":""2"",""key"":""颜色"",""vid"":""5"",""value"":""蓝色""}]', '[{""kid"":""1"",""key"":""尺寸"",""vid"":""1"",""value"":""S""},{""kid"":""2"",""key"":""颜色"",""vid"":""6"",""value"":""紫色""}]', '[{""kid"":""1"",""key"":""尺寸"",""vid"":""2"",""value"":""M""},{""kid"":""2"",""key"":""颜色"",""vid"":""4"",""value"":""红色""}]', '[{""kid"":""1"",""key"":""尺寸"",""vid"":""2"",""value"":""M""},{""kid"":""2"",""key"":""颜色"",""vid"":""5"",""value"":""蓝色""}]', '[{""kid"":""1"",""key"":""尺寸"",""vid"":""2"",""value"":""M""},{""kid"":""2"",""key"":""颜色"",""vid"":""6"",""value"":""紫色""}]', '[{""kid"":""1"",""key"":""尺寸"",""vid"":""3"",""value"":""XS""},{""kid"":""2"",""key"":""颜色"",""vid"":""4"",""value"":""红色""}]', '[{""kid"":""1"",""key"":""尺寸"",""vid"":""3"",""value"":""XS""},{""kid"":""2"",""key"":""颜色"",""vid"":""5"",""value"":""蓝色""}]', '[{""kid"":""1"",""key"":""尺寸"",""vid"":""3"",""value"":""XS""},{""kid"":""2"",""key"":""颜色"",""vid"":""6"",""value"":""紫色""}]', '[{""kid"":""1"",""key"":""尺寸"",""vid"":""13"",""value"":""XL""},{""kid"":""2"",""key"":""颜色"",""vid"":""4"",""value"":""红色""}]', '[{""kid"":""1"",""key"":""尺寸"",""vid"":""13"",""value"":""XL""},{""kid"":""2"",""key"":""颜色"",""vid"":""5"",""value"":""蓝色""}]', '[{""kid"":""1"",""key"":""尺寸"",""vid"":""13"",""value"":""XL""},{""kid"":""2"",""key"":""颜色"",""vid"":""6"",""value"":""紫色""}]']"
10,尖头单鞋,"['[{""kid"":""1"",""key"":""尺寸"",""vid"":""1"",""value"":""S""},{""kid"":""2"",""key"":""颜色"",""vid"":""4"",""value"":""红色""}]', '[{""kid"":""1"",""key"":""尺寸"",""vid"":""1"",""value"":""S""},{""kid"":""2"",""key"":""颜色"",""vid"":""5"",""value"":""蓝色""}]', '[{""kid"":""1"",""key"":""尺寸"",""vid"":""1"",""value"":""S""},{""kid"":""2"",""key"":""颜色"",""vid"":""6"",""value"":""紫色""}]', '[{""kid"":""1"",""key"":""尺寸"",""vid"":""2"",""value"":""M""},{""kid"":""2"",""key"":""颜色"",""vid"":""4"",""value"":""红色""}]', '[{""kid"":""1"",""key"":""尺寸"",""vid"":""2"",""value"":""M""},{""kid"":""2"",""key"":""颜色"",""vid"":""5"",""value"":""蓝色""}]', '[{""kid"":""1"",""key"":""尺寸"",""vid"":""2"",""value"":""M""},{""kid"":""2"",""key"":""颜色"",""vid"":""6"",""value"":""紫色""}]', '[{""kid"":""1"",""key"":""尺寸"",""vid"":""3"",""value"":""XS""},{""kid"":""2"",""key"":""颜色"",""vid"":""4"",""value"":""红色""}]', '[{""kid"":""1"",""key"":""尺寸"",""vid"":""3"",""value"":""XS""},{""kid"":""2"",""key"":""颜色"",""vid"":""5"",""value"":""蓝色""}]', '[{""kid"":""1"",""key"":""尺寸"",""vid"":""3"",""value"":""XS""},{""kid"":""2"",""key"":""颜色"",""vid"":""6"",""value"":""紫色""}]', '[{""kid"":""1"",""key"":""尺寸"",""vid"":""13"",""value"":""XL""},{""kid"":""2"",""key"":""颜色"",""vid"":""4"",""value"":""红色""}]', '[{""kid"":""1"",""key"":""尺寸"",""vid"":""13"",""value"":""XL""},{""kid"":""2"",""key"":""颜色"",""vid"":""5"",""value"":""蓝色""}]', '[{""kid"":""1"",""key"":""尺寸"",""vid"":""13"",""value"":""XL""},{""kid"":""2"",""key"":""颜色"",""vid"":""6"",""value"":""紫色""}]']"
11,内裤,"['[{""kid"":""3"",""key"":""尺寸"",""vid"":""7"",""value"":""S""},{""kid"":""4"",""key"":""颜色"",""vid"":""10"",""value"":""紫色""}]', '[{""kid"":""3"",""key"":""尺寸"",""vid"":""7"",""value"":""S""},{""kid"":""4"",""key"":""颜色"",""vid"":""11"",""value"":""红色""}]', '[{""kid"":""3"",""key"":""尺寸"",""vid"":""7"",""value"":""S""},{""kid"":""4"",""key"":""颜色"",""vid"":""12"",""value"":""蓝色""}]', '[{""kid"":""3"",""key"":""尺寸"",""vid"":""8"",""value"":""M""},{""kid"":""4"",""key"":""颜色"",""vid"":""10"",""value"":""紫色""}]', '[{""kid"":""3"",""key"":""尺寸"",""vid"":""8"",""value"":""M""},{""kid"":""4"",""key"":""颜色"",""vid"":""11"",""value"":""红色""}]', '[{""kid"":""3"",""key"":""尺寸"",""vid"":""8"",""value"":""M""},{""kid"":""4"",""key"":""颜色"",""vid"":""12"",""value"":""蓝色""}]', '[{""kid"":""3"",""key"":""尺寸"",""vid"":""9"",""value"":""L""},{""kid"":""4"",""key"":""颜色"",""vid"":""10"",""value"":""紫色""}]', '[{""kid"":""3"",""key"":""尺寸"",""vid"":""9"",""value"":""L""},{""kid"":""4"",""key"":""颜色"",""vid"":""11"",""value"":""红色""}]', '[{""kid"":""3"",""key"":""尺寸"",""vid"":""9"",""value"":""L""},{""kid"":""4"",""key"":""颜色"",""vid"":""12"",""value"":""蓝色""}]', '[{""kid"":""3"",""key"":""尺寸"",""vid"":""14"",""value"":""XL""},{""kid"":""4"",""key"":""颜色"",""vid"":""10"",""value"":""紫色""}]', '[{""kid"":""3"",""key"":""尺寸"",""vid"":""14"",""value"":""XL""},{""kid"":""4"",""key"":""颜色"",""vid"":""11"",""value"":""红色""}]', '[{""kid"":""3"",""key"":""尺寸"",""vid"":""14"",""value"":""XL""},{""kid"":""4"",""key"":""颜色"",""vid"":""12"",""value"":""蓝色""}]']"
13,运动鞋,"['[{""kid"":""3"",""key"":""尺寸"",""vid"":""7"",""value"":""S""},{""kid"":""4"",""key"":""颜色"",""vid"":""10"",""value"":""紫色""}]', '[{""kid"":""3"",""key"":""尺寸"",""vid"":""7"",""value"":""S""},{""kid"":""4"",""key"":""颜色"",""vid"":""11"",""value"":""红色""}]', '[{""kid"":""3"",""key"":""尺寸"",""vid"":""7"",""value"":""S""},{""kid"":""4"",""key"":""颜色"",""vid"":""12"",""value"":""蓝色""}]', '[{""kid"":""3"",""key"":""尺寸"",""vid"":""8"",""value"":""M""},{""kid"":""4"",""key"":""颜色"",""vid"":""10"",""value"":""紫色""}]', '[{""kid"":""3"",""key"":""尺寸"",""vid"":""8"",""value"":""M""},{""kid"":""4"",""key"":""颜色"",""vid"":""11"",""value"":""红色""}]', '[{""kid"":""3"",""key"":""尺寸"",""vid"":""8"",""value"":""M""},{""kid"":""4"",""key"":""颜色"",""vid"":""12"",""value"":""蓝色""}]', '[{""kid"":""3"",""key"":""尺寸"",""vid"":""9"",""value"":""L""},{""kid"":""4"",""key"":""颜色"",""vid"":""10"",""value"":""紫色""}]', '[{""kid"":""3"",""key"":""尺寸"",""vid"":""9"",""value"":""L""},{""kid"":""4"",""key"":""颜色"",""vid"":""11"",""value"":""红色""}]', '[{""kid"":""3"",""key"":""尺寸"",""vid"":""9"",""value"":""L""},{""kid"":""4"",""key"":""颜色"",""vid"":""12"",""value"":""蓝色""}]', '[{""kid"":""3"",""key"":""尺寸"",""vid"":""14"",""value"":""XL""},{""kid"":""4"",""key"":""颜色"",""vid"":""10"",""value"":""紫色""}]', '[{""kid"":""3"",""key"":""尺寸"",""vid"":""14"",""value"":""XL""},{""kid"":""4"",""key"":""颜色"",""vid"":""11"",""value"":""红色""}]', '[{""kid"":""3"",""key"":""尺寸"",""vid"":""14"",""value"":""XL""},{""kid"":""4"",""key"":""颜色"",""vid"":""12"",""value"":""蓝色""}]']"
