,产品标题,一级类目,二级类目,三级类目,Unnamed: 4,注：①一级类目系统可匹配，分为“服装”或“美妆”，服装类目数据对我们有研究意义                        ②“三级类目”为搜索产品标题关键字得到，可直接作为抓取分类依据,二级品类结果
0,(10双装）2019浅口花边短袜蕾丝船袜隐形袜双层硅胶防滑蕾丝袜女b\r,女装,日用,船袜,,,日用
1,(10双装）秋冬季韩国复古女士并线堆堆袜 日系可爱女袜中筒棉袜短靴袜br,女装,鞋,短靴,,,鞋
2,(12双装）2018夏冰丝猫咪浅口短袜女玻水草璃丝隐形袜船袜br,女装,日用,船袜,,,日用
3,(2双装）2018新款护膝保暖加绒老寒腿护腿女士袜套男关节防寒炎膝盖冬季女竹炭加厚YWDF-3,女装,日用,护膝,,,日用
4,(3双装)棉加厚麻将赢字袜扑克图案豹子袜子新年本命年红色袜子LYMMWY-3,女装,日用,袜子,,,日用
5,(3条装）薄款夏秋季 加档肉色连裤袜女BR,女装,日用,连裤袜,,,日用
6,(5个装）加厚防水浴帽洗澡沐浴化妆护理帽圆点防水沐浴帽洗头帽油烟帽br,女装,日用,浴帽,,,日用
7,(5条装）内裤女高腰三角裤刺绣精梳棉舒适四季内裤pn,女装,日用,内裤,,,日用
8,(6双装）冬季加厚日系毛圈女袜纯色条杠中筒女袜彩棉加厚中筒袜子女雪地袜b\r,女装,日用,中筒袜,,,日用
9,(8双装）2018冬季加厚兔羊毛女士休闲高罗口拼色粗线加厚保暖中筒袜子b\r,女装,日用,中筒袜,,,日用
10,(8双装）2018冬季加厚女士休闲高罗口拼色粗线加厚保暖中筒袜子b\r,女装,日用,中筒袜,,,日用
11,(两件）卡通可爱干发帽超强头发速干包头巾 加厚吸水浴帽,女装,日用,浴帽,,,日用
12,(中袖/长袖)包臀连衣裙秋季2018新款修身显瘦气质中长款打底裙,女装,连衣裙,连衣裙,,,连衣裙
13,(加绒/不加绒）蕾丝连衣裙新款女装2018秋季大码长袖圆领修身显瘦中长款大摆裙【DM】,女装,连衣裙,连衣裙,,,其它
14,(加绒）2018冬季新款靴子女鞋人造短毛绒圆头后系带橡胶长靴低跟PU d598,女装,鞋,长靴,,,鞋
